Country Name,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Germany,955307.7,892817.4,932549.1,955309.7,892819.4,932551.1,955311.7,892821.4,814413.1,789690.4,773069.1,760127.7,736011.7,747147.2,707770.2,603350.5
Indonesia,148342.9,171415.6,199175.8,236717.1,262705.1,280635.7,305633,341235.4,364467,376137.8,415536.6,481791.3,484640.1,483978.7,568007.6,563197
India,563575.4,626293.3,685903,774070.2,836269.9,937858.4,985453.3,1085666.9,1215205.2,1424383,1659983,1909442,2147107,2195248.5,2458175.9,2200836.3
"Iran, Islamic Rep.",198471.7,233650.9,266697.1,279812.1,290997.4,340456.2,369875.8,417660.4,484179.1,523048.3,541171.1,559122.1,605356.1,607216.3,637433.7,616561.3
Japan,1090508.1,1115035.1,1160755.1,1184646.6,1130280.5,1184424.9,1206760.2,1207285.7,1193043.3,1158836.1,1157241.8,1254319.4,1217306.6,1164869.4,1111115.3,1014064.7
"Korea, Rep.",247675.8,297049.9,354277.1,409990.3,366567.2,447237.3,461000.1,485909.6,487852.1,514924.5,575215.7,600316.3,588088.6,615443.6,630186.6,569681.8
Russian Federation,2163533.1,2030810.7,1685046.3,1601176.5,1487965,1563845.6,1565334.4,1600978.5,1654851,1655191.1,1617827.5,1675755.9,1611960.7,1571517.3,1661000,1618271
Saudi Arabia,171403.3,202031.7,206359.4,217652.4,233898.8,249654.8,272251.2,299889.4,335434.3,389713.4,446131.5,492467.1,540520.2,561229.7,527565.7,513555.8
Turkiye,139197.9,149797.2,153823.1,185337.7,193687.6,216396.5,208107.6,224601.2,261083.6,287205,297814,329797.8,341671.5,376399,414111.9,407406.2
United States,4844517.4,4879626.1,5066803,5273486.3,5590536.3,5775807.2,5593024.4,5738286,5653081,5558378.9,5392109.4,4956053,5107208.6,4894499.2,4975300.4,4320532.5
World,21284042.79,21390040.84,21676894.94,22778983.29,23365547.83,24280271.96,24989512.93,27331852.94,29308175.54,30632298.65,32095872.94,33460087.5,34261369.66,34145652.3,35560555.79,33566427.59
